Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Paul Fireman,10,United State,North America,61,Information Technology,,606,Filiz Sahenk,13,Turkey,Asia,39,HealthCare,,618,Elie Horn,16,Brazil,South America,61,Financials,,605,Margaret Magerko,20,United State,North America,42,Consumer,,601,Lynn Schusterman,12,United State,North America,70,HealthCare,,616,John Morgridge,16,United State,North America,76,Real Estate,Male,,595,James Ratcliffe,20,United Kingdom,Europe,58,Consumer,Male,,634,Yvonne Bauer & family,20,Germany,Europe,34,Real Estate,Female,,613,Wang Yusuo & family,24,China,Asia,48,Consumer,Male,,609,Alfred Taubman,28,United State,North America,90,Financials,Male,,628,Giuseppe De'Longhi,29,Italy,Europe,75,Consumer,Male,,612,Xue Xiangdong,28,China,Asia,57,Information Technology,Male,,630,Andreas Halvorsen,31,Norway,Europe,55,Financials,Male,,629,Friedhelm Loh,36,Germany,Europe,71,Industrials,Male,,617,Nie Tengyun & family,35,China,Asia,43,Consumer,Male,,616,Guenther Lehmann & family,32,Germany,Europe,72,Consumer,Male,,622,Paul-Heinz Wesjohann & family,46,Germany,Europe,77,Consumer,Male,,637,Yeung Kin-man,45,China,Asia,58,Consumer,Male,,636,Behdad Eghbali,43,United State,North America,46,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,J Flowers,10,United State,North America,47,Communication Services,,606,Carlos Alberto Sicupira,13,Brazil,South America,58,Consumer,,618,Jon Huntsman,16,United State,North America,69,Consumer,,605,Frederik GH Meijer & family,20,United State,North America,88,Real Estate,,601,Antonio Luiz Seabra,12,Brazil,South America,66,Financials,,616,N.R. Narayana Murthy & family,16,India,Asia,63,Energy,Male,,595,David Bonderman,20,United State,North America,68,Consumer,Male,,634,Marc Benioff,20,United State,North America,47,Consumer,Male,,613,Cher Wang Wenchi Chen,24,China,Asia,55,Consumer,Female,,609,Joan Tisch,28,United State,North America,88,Financials,Female,,628,Andre Esteves,29,Brazil,South America,46,Financials,Male,,638,Riley Bechtel,27,United State,North America,63,Industrials,Male,,630,Reid Hoffman,31,United State,North America,49,Information Technology,Male,,629,Kiran Mazumdar-Shaw,36,India,Asia,64,HealthCare,Female,,617,God Nisanov,35,Russia,Europe,46,Real Estate,Male,,616,James Leprino,32,United State,North America,58,Industrials,Male,,638,Ron Baron,45,United State,North America,77,Financials,Male,,637,Guo Guangchang,45,China,Asia,55,Financials,Male,,636,Juan Carlos Escotet,43,Venezuela,South America,63,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,William Ford Sr,10,United State,North America,80,Industrials,,606,Alexander Spanos,13,United State,North America,82,Financials,,618,H Fisk Johnson,16,United State,North America,48,Consumer,,605,Kerr Neilson,20,Australia,Australia,58,Consumer,,601,Kavitark Ram Shriram,12,United State,North America,52,Financials,,616,Marilyn Carlson Nelson & family,16,United State,North America,70,Communication Services,Female,,595,Daryl Katz,20,Canada,North America,49,Energy,Female,,634,Neil Bluhm,20,United State,North America,74,Consumer,Male,,613,Kamil Yazici,24,Turkey,Asia,84,Communication Services,Male,,609,Chee Chen Tung & family,28,China,Asia,72,Real Estate,Male,,628,John Fisher,29,United State,North America,53,Real Estate,Male,,638,"Stephen Bechtel, Jr.",27,United State,North America,90,Industrials,Male,,630,Viatcheslav Kantor,31,Russia,Europe,63,Industrials,Male,,629,Idan Ofer,36,Israel,Asia,62,Financials,Male,,617,Akio Nitori,35,Japan,Asia,75,Consumer,Male,,616,Li Haiyan,32,China,Asia,-,Materials,Male,,638,Andre Esteves,45,Brazil,South America,52,Financials,Male,,637,Ted Lerner & family,45,United State,North America,96,Consumer,Male,,636,Jose E. Feliciano,43,United State,North America,49,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,William Gross,10,United State,North America,60,Materials,,606,Harry Triguboff,13,Australia,Australia,73,Energy,,618,Imogene Powers Johnson,16,United State,North America,77,Energy,,605,Or Wai Sheun,20,China,Asia,56,Financials,,601,Pat Stryker,12,United State,North America,52,Information Technology,,616,Isaac Perlmutter,16,United State,North America,67,Real Estate,Male,,595,Bennett Dorrance,20,United State,North America,65,Consumer,Female,,634,Charles Bronfman,20,Canada,North America,80,Consumer,Male,,613,Mortimer Zuckerman,24,United State,North America,75,Financials,Male,,609,Yang Kai,28,China,Asia,57,Energy,Male,,628,Rosa Anna Magno Garavoglia,29,Italy,Europe,-,Real Estate,Female,,638,Jean-Michel Besnier,27,France,Europe,48,Consumer,Male,,630,Marc Ladreit de Lacharriere,31,France,Europe,76,Financials,Male,,629,Karsanbhai Patel,36,India,Asia,74,Financials,Male,,617,Daniel Och,35,United State,North America,58,Financials,Male,,616,Ronald McAulay,32,China,Asia,57,Financials,Male,,638,Jonathan Gray,45,United State,North America,51,Financials,Male,,637,Bert Beveridge,45,United State,North America,60,Financials,Male,,636,Hu Kaijun,43,China,Asia,61,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Dorrance Hamilton,10,United State,North America,76,Materials,,606,Joop van den Ende,13,Netherlands,Europe,64,Industrials,,618,S Curtis Johnson,16,United State,North America,51,Industrials,,605,Liselott Persson,20,Sweden,Europe,58,Information Technology,,601,David Tepper,12,United State,North America,50,Energy,,616,Thomas Pritzker,16,United State,North America,59,Real Estate,Male,,595,Jerry Jones,20,United State,North America,68,Information Technology,Male,,634,John Catsimatidis,20,United State,North America,63,Energy,Male,,641,Mohammed Al Issa,23,Saudi Arabia,Asia,88,Communication Services,Male,,641,Richard Chandler,27.5,New Zealand,Australia,55,Financials,Male,,628,Guenter Herz & Family,29,Germany,Europe,74,Real Estate,Female,,638,Marie Besnier Beauvalot,27,France,Europe,35,Consumer,Female,,630,Liu Zhongtian,31,China,Asia,53,Industrials,Male,,629,Qin Yinglin,36,China,Asia,52,Consumer,Male,,617,Prajogo Pangestu,35,Indonesia,Asia,74,Financials,Male,,616,Masahiro Miki,32,Japan,Asia,71,Real Estate,Male,,638,Hu Baifan,45,China,Asia,58,HealthCare,Male,,637,Ron Baron,45,United State,North America,78,Financials,Male,,636,Johnelle Hunt,43,United State,North America,91,Industrials,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Ingeburg Herz,10,Germany,Europe,-,Materials,,606,Martin Viessmann,13,Germany,Europe,52,Real Estate,,618,Helen Johnson-Leipold,16,United State,North America,50,Communication Services,,605,Peter Peterson,20,United State,North America,81,Financials,,601,Wilma Tisch,12,United State,North America,81,Energy,,616,Trevor Rees-Jones,16,United State,North America,58,Real Estate,Male,,595,Esther Grether & family,20,Switzerland,Europe,75,Consumer,Male,,634,Silas Chou,20,China,Asia,65,Real Estate,Male,,641,Hubert Burda,23,Germany,Europe,73,Consumer,Male,,642,Marie Besnier Beauvalot,27,France,Europe,33,Consumer,Male,,628,Daniela Herz,29,Germany,Europe,61,Communication Services,Male,,638,Alain Bouchard,27,Canada,North America,67,Consumer,Male,,630,YUnited Stateku Maezawa,31,Japan,Asia,41,Information Technology,Male,,629,Qiu Guanghe,36,China,Asia,66,Consumer,Male,,617,Howard Schultz,35,United State,North America,65,Consumer,Male,,616,John Morris,32,United State,North America,77,Industrials,Male,,638,Viatcheslav Kantor,45,Russia,Europe,67,Industrials,Male,,637,Gustav Magnar Witzoe,45,Norway,Europe,28,Financials,Male,,636,Marian Ilitch,43,United State,North America,90,Consumer,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,William Barron Hilton,10,United State,North America,77,Consumer,,606,Dean White,13,United State,North America,82,Financials,,618,Winnie Johnson-Marquart,16,United State,North America,47,Real Estate,,605,Sergei Pugachev,20,Russia,Europe,45,Financials,,601,Peter Unger,12,Germany,Europe,64,Energy,,616,Hans Riegel,16,Germany,Europe,87,Energy,Male,,595,Kerry Stokes,20,Australia,Australia,70,Energy,Male,,634,Leon G. Cooperman,20,United State,North America,68,Industrials,Male,,641,Jose and Francisco Jose Calderon Rojas,23,Mexico,North America,58,Information Technology,Male,,642,Jean-Michel Besnier,27,France,Europe,46,Information Technology,Female,,628,Kim Beom-su,29,South Korea,Asia,48,Consumer,Male,,638,Cai Dongqing,27,China,Asia,46,Communication Services,Male,,630,Sergio Mantegazza,31,Switzerland,Europe,89,Consumer,Male,,629,Sarath Ratanavadi,36,Thailand,Asia,52,Energy,Male,,617,Shaul Shani,35,Israel,Asia,64,Information Technology,Male,,616,Hans Georg Naeder,32,Germany,Europe,63,Consumer,Male,,638,Min Kao & family,45,United State,North America,72,Information Technology,Male,,637,David Bonderman,45,United State,North America,79,Financials,Male,,636,Daryl Katz,43,Canada,North America,61,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Dietmar Hopp,10,Germany,Europe,64,Communication Services,,606,Jaime Zobel de Ayala & family,13,Philippines,Asia,71,Real Estate,,618,Michael Lee-Chin,16,Canada,North America,56,Real Estate,,605,Frederick Smith,20,United State,North America,63,Real Estate,,601,Vladimir Yevtushenkov,12,Russia,Europe,60,Financials,,616,Leandro Rizzuto,16,United State,North America,71,Consumer,Male,,595,David Hains,20,Australia,Australia,80,Energy,Male,,634,Dulce Pugliese de Godoy Bueno,20,Brazil,South America,64,Consumer,Female,,641,"Austen Cargill, II.",23,United State,North America,62,Consumer,Male,,642,David Bonderman,27,United State,North America,71,Information Technology,Male,,628,Edward Lampert,29,United State,North America,52,Consumer,Male,,638,Jean Pierre Cayard,27,France,Europe,73,Consumer,Male,,630,Ronald McAulay,31,China,Asia,81,Energy,Male,,629,Rodger Riney,36,United State,North America,72,Financials,Male,,617,Radovan Vitek,35,Czech Republic,Europe,47,Real Estate,Male,,616,Paolo & Gianfelice Mario Rocca,32,Italy,Europe,75,HealthCare,Male,,638,Friedrich Knapp,45,Germany,Europe,69,Consumer,Male,,637,Trevor Rees-Jones,45,United State,North America,70,Real Estate,Male,,636,Andrei Kozitsyn,43,Russia,Europe,62,Materials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Alijan Ibragimov,10,Kazakhstan,Asia,51,Materials,,645,Thomas Bailey,12,United State,North America,69,Energy,,618,Nancy Lerner,16,United State,North America,46,Consumer,,605,Sheldon Solow,20,United State,North America,79,Industrials,,601,Zhang Li,12,China,Asia,56,Consumer,,616,Shi Yuzhu,16,China,Asia,47,Real Estate,Male,,595,Jean-Claude Gandur,20,Switzerland,Europe,62,Financials,Male,,634,John de Mol,20,Netherlands,Europe,57,Communication Services,Male,,641,"James Cargill, II.",23,United State,North America,63,Consumer,Male,,642,Eva Maria Bucher-Haefner,27,Switzerland,Europe,57,Consumer,Female,,628,Samuel Tak Lee,29,China,Asia,75,Consumer,Male,,638,Richard Chandler,27,New Zealand,Australia,57,Financials,Male,,630,Pawan Munjal,31,India,Asia,63,Consumer,Male,,629,Steven Spielberg,36,United State,North America,71,Communication Services,Male,,645,Jose Joao Abdalla Filho,34,Brazil,South America,73,Financials,Male,,616,Marc Rowan,32,United State,North America,69,Communication Services,Female,,638,Richard Li,45,China,Asia,54,Information Technology,Male,,637,Robert Rowling,45,United State,North America,68,Consumer,Female,,636,Timur Kulibaev,43,Kazakhstan,Asia,56,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Jeremy Jacobs Sr,10,United State,North America,65,Communication Services,,645,Edward Bass,12,United State,North America,61,Information Technology,,618,Norma Lerner,16,United State,North America,70,Consumer,,605,Jerry Speyer,20,United State,North America,67,Real Estate,,601,Zhang Zhixiang,12,China,Asia,42,Consumer,,616,Shin Chang-Jae,16,South Korea,Asia,56,Information Technology,Male,,595,Leszek Czarnecki,20,Poland,Europe,49,Consumer,Male,,634,Carlo Fidani,20,Canada,North America,57,Industrials,Male,,641,Jim Davis & family,23,United State,North America,69,Communication Services,Male,,642,Ron Burkle,27,United State,North America,61,Real Estate,Male,,628,Edwin Leong,29,China,Asia,63,Consumer,Male,,638,Chen Fashu,27,China,Asia,55,Financials,Male,,630,Renata de Camargo Nascimento,31,Brazil,South America,66,Industrials,Female,,629,Gabriele Volkmann,36,Germany,Europe,-,Consumer,Female,,645,Charles Cohen,34,United State,North America,67,Real Estate,Male,,616,Yitzhak Tshuva,32,Israel,Asia,41,Information Technology,Male,,638,Rudolf Maag,45,Switzerland,Europe,75,HealthCare,Male,,637,J. Joe Ricketts & family,45,United State,North America,80,Energy,Male,,636,Dinara Kulibaeva,43,Kazakhstan,Asia,55,Financials,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Jerral Jones,10,United State,North America,62,Communication Services,,645,Carl Berg,12,United State,North America,68,Consumer,,618,Randolph Lerner,16,United State,North America,44,Financials,,605,R Allen Stanford,20,United State,North America,58,Financials,,647,Kenneth Adams Jr,11,United State,North America,86,Industrials,,616,Gautam Thapar,16,India,Asia,49,Consumer,Male,,595,John de Mol,20,Netherlands,Europe,55,Consumer,Male,,634,John Fisher,20,United State,North America,50,Communication Services,Male,,641,Ray Dolby,23,United State,North America,80,Information Technology,Male,,642,Andrew & Peggy Cherng,27,United State,North America,-,Consumer,,,628,Youssef Mansour,29,Egypt,Africa,69,Consumer,Male,,638,Andrew & Peggy Cherng,27,United State,North America,-,Consumer,,,630,God Nisanov,31,Russia,Europe,44,Real Estate,Male,,629,Arne Wilhelmsen,36,Norway,Europe,87,Industrials,Male,,645,Ding Shijia,34,China,Asia,55,Consumer,Male,,616,Tung Chee Chen,32,China,Asia,58,Consumer,Male,,638,Miao Hangen,45,China,Asia,56,Financials,Male,,637,Mark Stevens,45,United State,North America,62,Financials,Male,,636,Ian Livingstone,43,United Kingdom,Europe,60,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Paul Jones II,10,United State,North America,51,Communication Services,,645,Timothy Blixseth,12,United State,North America,55,Consumer,,618,George Lindemann & family,16,United State,North America,71,Materials,,605,David Tepper,20,United State,North America,49,Consumer,,647,Khalaf Al Habtoor,11,United Arab Emirates,Asia,59,Real Estate,,616,Wilma Tisch,16,United State,North America,82,Consumer,Female,,595,Gautam Thapar,20,India,Asia,50,Energy,Male,,634,Jean Claude Gandur,20,Switzerland,Europe,63,Communication Services,Male,,641,Ralph Dommermuth,23,Germany,Europe,49,Financials,Male,,642,Dagmar Dolby & family,27,United State,North America,72,Consumer,Female,,628,Sergio Mantegazza,29,Switzerland,Europe,87,Consumer,Male,,638,Silas Chou,27,China,Asia,69,Consumer,Male,,630,Idan Ofer,31,Israel,Asia,61,Financials,Male,,629,Xu Jingren,36,China,Asia,73,HealthCare,Male,,645,Ding Shizhong & family,34,China,Asia,48,Consumer,Male,,648,Anil Agarwal & family,31,India,Asia,66,Materials,Male,,638,Sami Mnaymneh,45,United State,North America,59,Financials,Male,,637,Daryl Katz,45,Canada,North America,60,Consumer,Male,,636,Richard Livingstone,43,United Kingdom,Europe,58,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Morris Kahn,10,Israel,Asia,75,Financials,,645,Amar Bose,12,United State,North America,77,Information Technology,,618,Manuel Manrique,16,Spain,Europe,53,Industrials,,605,Martin Viessmann,20,Germany,Europe,54,Consumer,,647,Mohammed Al Rajhi,11,Saudi Arabia,Asia,-,Financials,,616,Tsai Ming-kai,16,China,Asia,-,Information Technology,Male,,595,Shin Dong-Bin,20,South Korea,Asia,56,Real Estate,Male,,634,Gordon Getty,20,United State,North America,78,Financials,Male,,641,Alexander Dzhaparidze,23,Russia,Europe,57,Consumer,Male,,642,Johan Johannson,27,Norway,Europe,47,Consumer,Male,,628,Kalanithi Maran,29,India,Asia,49,Information Technology,Male,,638,"John Dorrance, III.",27,Ireland,Europe,72,Consumer,Male,,630,Regina de Camargo Pires Oliveira Dias,31,Brazil,South America,63,Industrials,Female,,629,Zhang Li,36,China,Asia,65,Real Estate,Male,,645,Murali Divi & family,34,India,Asia,67,HealthCare,Male,,648,Igor Altushkin,31,Russia,Europe,49,Materials,Male,,638,Igor Olenicoff,45,United State,North America,78,Real Estate,Male,,637,Michael Ashley,45,United Kingdom,Europe,57,Financials,Male,,636,Gwendolyn Sontheim Meyer,43,United State,North America,61,Consumer,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Jeffrey Katzenberg,10,United State,North America,54,Information Technology,,645,Alan Casden,12,United State,North America,60,Real Estate,,618,Kenneth Morrison,16,United Kingdom,Europe,75,Financials,,605,Andreas von Bechtolsheim,20,Germany,Europe,52,Financials,,647,Alberto Alcocer,11,Spain,Europe,66,Financials,,616,Georg von Opel,16,Germany,Europe,43,Financials,Male,,595,Valery Kogan,20,Russia,Europe,60,Communication Services,Male,,634,Esther Grether & family,20,Switzerland,Europe,76,Industrials,Female,,641,Jeff Greene,23,United State,North America,58,Consumer,Male,,642,Hanni Toosbuy Kasprzak,27,Denmark,Europe,56,HealthCare,Female,,628,Siegfried Meister,29,Germany,Europe,76,Financials,Male,,638,Robert Duggan,27,United State,North America,71,HealthCare,Male,,630,Julio Ponce Lerou,31,Chile,South America,71,Materials,Male,,629,Zhang Xin,36,China,Asia,52,Real Estate,Female,,645,Jeff Greene,34,United State,North America,64,Real Estate,Male,,648,Alain Bouchard,31,Canada,North America,71,Consumer,Male,,638,Sergei Popov,45,Russia,Europe,49,Financials,Male,,637,Xie Liangzhi & family,45,China,Asia,56,Consumer,Male,,636,Jay Paul,43,United State,North America,75,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Nasser Khalili,10,United Kingdom,Europe,59,Industrials,,645,Harvey Chaplin & family,12,United State,North America,77,Consumer,,618,Igor Olenicoff,16,United State,North America,64,Energy,,605,William Wrigley Jr,20,United State,North America,44,Consumer,,647,Bassam Alghanim,11,Kuwait,Asia,-,Information Technology,,616,John Whittaker,16,United Kingdom,Europe,68,Communication Services,Male,,651,Chip Wilson,19,Canada,North America,54,Consumer,Male,,634,Vladimir Gridin & family,20,Russia,Europe,56,Financials,Male,,641,Bill Gross,23,United State,North America,68,Materials,Male,,642,Miguel Krigsner,27,Brazil,South America,64,Real Estate,Male,,628,Dirk Rossmann,29,Germany,Europe,68,Financials,Male,,638,Hortensia Herrero,27,Spain,Europe,65,Consumer,Female,,630,Issad Rebrab,31,Algeria,Africa,73,Consumer,Male,,629,Anita Zucker,36,United State,North America,66,Industrials,Female,,645,Jason Jiang,34,China,Asia,46,Communication Services,Male,,648,Dmitry BUnited Kingdomhman,31,Russia,Europe,34,Communication Services,Male,,638,Thomas Pritzker,45,United State,North America,70,Financials,Male,,637,Zhang Hejun,45,China,Asia,-,HealthCare,Male,,636,Pham Nhat Vuong,43,Vietnam,Asia,54,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,James Kim & family,10,United State,North America,69,Energy,,645,William Connor II,12,United State,North America,56,Real Estate,,618,Nicholas Pritzker II,16,United State,North America,63,Consumer,,652,Igor Altushkin,19,Russia,Europe,37,Energy,,647,Kutayba Alghanim,11,Kuwait,Asia,62,Energy,,616,Stephen Wynn,16,United State,North America,68,Real Estate,Male,,651,John Marriott,19,United State,North America,78,Information Technology,Male,,634,David Hains,20,Australia,Australia,81,Consumer,Male,,641,David Hains,23,Australia,Australia,82,Consumer,Male,,642,Law Kar Po,27,China,Asia,66,Industrials,Male,,628,David Rubenstein,29,United State,North America,65,Real Estate,Male,,638,Heidi Horten,27,Austria,Europe,75,Consumer,Female,,630,Teddy Sagi,31,Israel,Asia,45,Consumer,Male,,652,Carlo Benetton,35,Italy,Europe,74,Consumer,Male,,645,Peter Kellogg,34,United State,North America,76,Financials,Male,,648,Igor BUnited Kingdomhman,31,Russia,Europe,38,Communication Services,Male,,638,Julian Robertson Jr,45,United State,North America,88,Financials,Male,,637,Falguni Nayar,45,India,Asia,59,Industrials,Male,,636,Jon Stryker,43,United State,North America,64,HealthCare,Male
